,type,syllables,word_type,definitions,extras,query,lang,country,termid,title,link,displayed_link,date,snippet,refinements,people_also_search_for,about_this_result,about_page_link,thumbnail,list
0,organic_result,,,,,Renewable Energy,en,NG,58,"Renewable energy is energy that is collected from renewable resources that are naturally replenished on a human timescale. It includes sources such as sunlight, wind, rain, tides, waves, and geothermal heat. Although most renewable energy sources are sustainable, some are not.","https://en.wikipedia.org/wiki/Renewable_energy#:~:text=Renewable%20energy%20is%20energy%20that,are%20sustainable%2C%20some%20are%20not.",https://en.wikipedia.org › wiki › Renewable_energy,,"Renewable energy is energy that is collected from renewable resources that are naturally replenished on a human timescale. It includes sources such as sunlight, wind, rain, tides, waves, and geothermal heat. Although most renewable energy sources are sustainable, some are not.",,[],"{'source': {'description': 'Wikipedia is a multilingual open online encyclopedia written and maintained by a community of volunteers through open collaboration and a wiki-based editing system. Individual contributors, also called editors, are known as Wikipedians. Wikipedia is the largest and most-read reference work in history.', 'source_info_link': 'https://en.wikipedia.org/wiki/Wikipedia', 'icon': 'https://serpapi.com/searches/627cfef39f55b30b2e4134cd/images/cd54d3fa98ddc59a47d45b537f82673ed9ab16e078bde53ac9db7a8a74377f54a127d1ec31ae439866e9e0785f52f9c1.png'}}",https://www.google.com/search?q=About+https://en.wikipedia.org/wiki/Renewable_energy&tbm=ilp&ilps=ADNMCi2jEpaee-MBteuKRa4owChBVHwkWQ,,
0,organic_result,,,,,Climate change,en,NG,59,"Climate change refers to long-term shifts in temperatures and weather patterns. These shifts may be natural, such as through variations in the solar cycle. But since the 1800s, human activities have been the main driver of climate change, primarily due to burning fossil fuels like coal, oil and gas.","https://www.un.org/en/climatechange/what-is-climate-change#:~:text=Climate%20change%20refers%20to%20long,like%20coal%2C%20oil%20and%20gas.",https://www.un.org › climatechange › what-is-climate-cha...,,"Climate change refers to long-term shifts in temperatures and weather patterns. These shifts may be natural, such as through variations in the solar cycle. But since the 1800s, human activities have been the main driver of climate change, primarily due to burning fossil fuels like coal, oil and gas.",,[],"{'source': {'description': 'The United Nations is an intergovernmental organization whose purpose is to maintain international peace and security, develop friendly relations among nations, achieve international cooperation, and be a centre for harmonizing the actions of nations.', 'source_info_link': 'https://en.wikipedia.org/wiki/United_Nations', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/d93662e8f046190f645fdd8641db3d1d9425e6b8afdf120f69c767d81f67e33f8ee8d803ad86fd4095b3d137b5759303.png'}}",https://www.google.com/search?q=About+https://www.un.org/en/climatechange/what-is-climate-change&tbm=ilp&ilps=ADNMCi0702uNhYhI30Vsr1JUjE2A52jFTw,,
0,organic_result,,,,,Greenhouse gas,en,NG,66,"What Are Greenhouse Gases? Earth's greenhouse gases trap heat in the atmosphere and warm the planet. The main gases responsible for the greenhouse effect include carbon dioxide, methane, nitrous oxide, and water vapor (which all occur naturally), and fluorinated gases (which are synthetic).16 Jul 2019","https://www.nrdc.org/stories/greenhouse-effect-101#:~:text=Bednarski%20for%20NRDC-,What%20Are%20Greenhouse%20Gases%3F,gases%20(which%20are%20synthetic).",https://www.nrdc.org › stories › greenhouse-effect-101,16 Jul 2019,"What Are Greenhouse Gases? Earth's greenhouse gases trap heat in the atmosphere and warm the planet. The main gases responsible for the greenhouse effect include carbon dioxide, methane, nitrous oxide, and water vapor (which all occur naturally), and fluorinated gases (which are synthetic).","['sample', 'diagram', 'pollution', 'bulletin', 'photos']",[],"{'source': {'description': 'The Natural Resources Defense Council is a United States-based 501 non-profit international environmental advocacy group, with its headquarters in New York City and offices in Washington D.C., San Francisco, Los Angeles, New Delhi, Chicago, Bozeman, and Beijing.', 'source_info_link': 'https://en.wikipedia.org/wiki/Natural_Resources_Defense_Council', 'icon': 'https://serpapi.com/searches/627cff042ff421d0fb7668bd/images/bed9f67c7138f66508164fa621983bb1e12911f0dc4dad3e6b76f6cda76156ecb178fe6e0f22daa4acb8aca322206514.png'}}",https://www.google.com/search?q=About+https://www.nrdc.org/stories/greenhouse-effect-101&tbm=ilp&ilps=ADNMCi0HhwJAMxMcKzKZqZ5_hkjfotUb4g,,
0,organic_result,,,,,Infection,en,NG,68,"(in-FEK-shun) The invasion and growth of germs in the body. The germs may be bacteria, viruses, yeast, fungi, or other microorganisms. Infections can begin anywhere in the body and may spread all through it. An infection can cause fever and other health problems, depending on where it occurs in the body.","https://www.cancer.gov/publications/dictionaries/cancer-terms/def/infection#:~:text=(in%2DFEK%2Dshun),it%20occurs%20in%20the%20body.",https://www.cancer.gov › dictionaries › cancer-terms › def,,"(in-FEK-shun) The invasion and growth of germs in the body. The germs may be bacteria, viruses, yeast, fungi, or other microorganisms. Infections can begin anywhere in the body and may spread all through it. An infection can cause fever and other health problems, depending on where it occurs in the body.",,[],"{'source': {'description': 'cancer.gov was first indexed by Google more than 10 years ago', 'icon': 'https://serpapi.com/searches/627cff087d171aee13062329/images/45dcc5785c69c955c613f42a3fbc263a6d580c5fc2060123001213ab344bad64b8a5cdc8f2222f18ba24bba99eca7940.png'}}",https://www.google.com/search?q=About+https://www.cancer.gov/publications/dictionaries/cancer-terms/def/infection&tbm=ilp&ilps=ADNMCi11Nrb_8xhfJvfkSmVR3g8oTLdm8A,,
0,organic_result,,,,,Flood,en,NG,70,"A flood is an overflow of water that submerges land that is usually dry. In the sense of ""flowing water"", the word may also be applied to the inflow of the tide. Floods are an area of study of the discipline hydrology and are of significant concern in agriculture, civil engineering and public health.","https://en.wikipedia.org/wiki/Flood#:~:text=A%20flood%20is%20an%20overflow,civil%20engineering%20and%20public%20health.",https://en.wikipedia.org › wiki › Flood,,"A flood is an overflow of water that submerges land that is usually dry. In the sense of ""flowing water"", the word may also be applied to the inflow of the tide. Floods are an area of study of the discipline hydrology and are of significant concern in agriculture, civil engineering and public health.",,[],"{'source': {'description': 'Wikipedia is a multilingual open online encyclopedia written and maintained by a community of volunteers through open collaboration and a wiki-based editing system. Individual contributors, also called editors, are known as Wikipedians. Wikipedia is the largest and most-read reference work in history.', 'source_info_link': 'https://en.wikipedia.org/wiki/Wikipedia', 'icon': 'https://serpapi.com/searches/627cff0c2348846a3be45eac/images/3b34e3842d13850a9511c28bb3b637ebb6dad6a9fbb164487c45a7c1ec1fe9b2f14f7e93c41fedc1f27ba3652b4a60f0.png'}}",https://www.google.com/search?q=About+https://en.wikipedia.org/wiki/Flood&tbm=ilp&ilps=ADNMCi3A15nJ144DT1XxRvA_qf7MtjZncg,,
0,organic_result,,,,,Drought,en,NG,71,"Drought is a prolonged dry period in the natural climate cycle that can occur anywhere in the world. It is a slow-onset disaster characterized by the lack of precipitation, resulting in a water shortage. Drought can have a serious impact on health, agriculture, economies, energy and the environment.","https://www.who.int/health-topics/drought#:~:text=Drought%20is%20a%20prolonged%20dry,economies%2C%20energy%20and%20the%20environment.",https://www.who.int › Health topics,,"Drought is a prolonged dry period in the natural climate cycle that can occur anywhere in the world. It is a slow-onset disaster characterized by the lack of precipitation, resulting in a water shortage. Drought can have a serious impact on health, agriculture, economies, energy and the environment.",,[],"{'source': {'description': 'The World Health Organization is a specialized agency of the United Nations responsible for international public health. The WHO Constitution states its main objective as ""the attainment by all peoples of the highest possible level of health"".', 'source_info_link': 'https://en.wikipedia.org/wiki/World_Health_Organization', 'icon': 'https://serpapi.com/searches/627cff13eb690ff8011af704/images/e6fea53390c1bf9c8f0ce810df7e83724ed79eb07bb05635b83b6d2c153b4618ba8f91ce80eb3a055885fdaa8a5bdc3c.png'}}",https://www.google.com/search?q=About+https://www.who.int/health-topics/drought&tbm=ilp&ilps=ADNMCi3OSWrZew4kvIwRgxrqdzvfaw1vCg,,
0,organic_result,,,,,תת תזונה,iw,IL,53,"תת־תזונה מתוארת כחוסר בקלוריות (כתוצאה מאכילה מועטה מאוד) ו/או כחוסר בחלבון. חוסר בקלוריות מלווה לרוב גם בחוסר ויטמינים, מינרלים ויסודות קורט.",https://www.clalit.co.il/he/lifestyle/nutrition/Pages/malnutrition.aspx,https://www.clalit.co.il › nutrition › Pages › malnutrition,,"תת־תזונה מתוארת כחוסר בקלוריות (כתוצאה מאכילה מועטה מאוד) ו/או כחוסר בחלבון. חוסר בקלוריות מלווה לרוב גם בחוסר ויטמינים, מינרלים ויסודות קורט.",,[],,,https://serpapi.com/searches/627cff15303eb1c5cbbf3bf7/images/4c0a806bb9f2b53e855d67e7341df6d02f9db0a132327342.jpeg,
0,organic_result,,,,,זיהום רפואה,iw,IL,68,"זיהום (בלועזית: אינפקציה) הוא תהליך של התיישבות מזיקה של גורם זר באורגניזם פונדקאי. האורגניזם המזהם פועל לניצול משאביו של גוף הפונדקאי כדי להתרבות על חשבונו. האורגניזם המזהם (נקרא גם פתוגן) מפריע לתפקודו הנורמלי של הפונדקאי ויכול לגרום לפצעים כרוניים, נמק, אובדן האיבר המזוהם ואפילו מוות.",https://he.wikipedia.org/wiki/%D7%96%D7%99%D7%94%D7%95%D7%9D_(%D7%A8%D7%A4%D7%95%D7%90%D7%94),https://he.wikipedia.org › wiki › זיהום_(רפואה),,"זיהום (בלועזית: אינפקציה) הוא תהליך של התיישבות מזיקה של גורם זר באורגניזם פונדקאי. האורגניזם המזהם פועל לניצול משאביו של גוף הפונדקאי כדי להתרבות על חשבונו. האורגניזם המזהם (נקרא גם פתוגן) מפריע לתפקודו הנורמלי של הפונדקאי ויכול לגרום לפצעים כרוניים, נמק, אובדן האיבר המזוהם ואפילו מוות.",,[],,,,
0,organic_result,,,,,שיטפון,iw,IL,70,שיטפון - ויקיפדיה,https://he.wikipedia.org/wiki/%D7%A9%D7%99%D7%98%D7%A4%D7%95%D7%9F,https://he.wikipedia.org › wiki › שיטפון,,שיטפון הוא אירוע שבו מים מציפים קרקע שהיא יבשה בדרך כלל בהיקף נרחב שעלול לגרום לנזק ואבדות בנפש וברכוש....תוכן עניינים,,[],,,,"['1.1 הצפת נהרות', '1.2 צונאמי', '1.3 שיטפון בזק']"
0,organic_result,,,,,недостаточное питание,ru,RU,53,Недостаточное питание — это нехватка калорий или одного или нескольких незаменимых питательных веществ.,"https://www.msdmanuals.com/ru/%D0%B4%D0%BE%D0%BC%D0%B0/%D0%B7%D0%B0%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F,-%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%81-%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D0%B5%D0%BC/%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%82%D0%BE%D1%87%D0%BD%D0%BE%D0%B5-%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D0%B5/%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%82%D0%BE%D1%87%D0%BD%D0%BE%D0%B5-%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D0%B5",https://www.msdmanuals.com › дома › недостаточное-п...,,Недостаточное питание — это нехватка калорий или одного или нескольких незаменимых питательных веществ.,,[],,,,
0,organic_result,,,,,Калория,ru,RU,56,"Кало́рия (лат. calor — тепло, жар) — внесистемная единица количества теплоты; энергия, необходимая для нагревания 1 грамма воды с 19.5 до 20.5 градусов Цельсия.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%BE%D1%80%D0%B8%D1%8F#:~:text=%D0%9A%D0%B0%D0%BB%D0%BE%CC%81%D1%80%D0%B8%D1%8F%20(%D0%BB%D0%B0%D1%82.,19.5%20%D0%B4%D0%BE%2020.5%20%D0%B3%D1%80%D0%B0%D0%B4%D1%83%D1%81%D0%BE%D0%B2%20%D0%A6%D0%B5%D0%BB%D1%8C%D1%81%D0%B8%D1%8F.",https://ru.wikipedia.org › wiki › Калория,,"Кало́рия (лат. calor — тепло, жар) — внесистемная единица количества теплоты; энергия, необходимая для нагревания 1 грамма воды с 19.5 до 20.5 градусов Цельсия.",,[],,,,
0,organic_result,,,,,Инфекция,ru,RU,68,"Инфе́кция (от лат. inficio, infeci, infectum «заражать») — заражение живого организма (включая микроорганизмы) инфекционным агентом, процесс его размножения или развития в организме, а также реакция организма на присутствие в тканях инфекционного агента и на выделяемые им токсины.","https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%84%D0%B5%D0%BA%D1%86%D0%B8%D1%8F#:~:text=%D0%98%D0%BD%D1%84%D0%B5%CC%81%D0%BA%D1%86%D0%B8%D1%8F%20(%D0%BE%D1%82%20%D0%BB%D0%B0%D1%82.,%D0%B8%20%D0%BD%D0%B0%20%D0%B2%D1%8B%D0%B4%D0%B5%D0%BB%D1%8F%D0%B5%D0%BC%D1%8B%D0%B5%20%D0%B8%D0%BC%20%D1%82%D0%BE%D0%BA%D1%81%D0%B8%D0%BD%D1%8B.",https://ru.wikipedia.org › wiki › Инфекция,,"Инфе́кция (от лат. inficio, infeci, infectum «заражать») — заражение живого организма (включая микроорганизмы) инфекционным агентом, процесс его размножения или развития в организме, а также реакция организма на присутствие в тканях инфекционного агента и на выделяемые им токсины.",,[],,,,
0,organic_result,,,,,Malnutrición,es,ES,53,La malnutrición es el resultado de llevar una dieta desequilibrada en la cual hay una falta de nutrientes o bien cuya ingesta se da en la proporción errónea. La malnutrición aumenta el riesgo de padecer una infección o enfermedades infecciosas.,"https://www.topdoctors.es/diccionario-medico/malnutricion#:~:text=La%20malnutrici%C3%B3n%20es%20el%20resultado,una%20infecci%C3%B3n%20o%20enfermedades%20infecciosas.",https://www.topdoctors.es › Diccionario médico › M,,La malnutrición es el resultado de llevar una dieta desequilibrada en la cual hay una falta de nutrientes o bien cuya ingesta se da en la proporción errónea. La malnutrición aumenta el riesgo de padecer una infección o enfermedades infecciosas.,,[],,,https://serpapi.com/searches/627cff9b1d986e14d0eeaeec/images/6c7e0bf8ac6eefd9c453576c9fc5619ba0bcfcecf876a1fc.jpeg,
0,organic_result,,,,,Caloría,es,ES,56,"La definición técnica de caloría corresponde a una unidad de energía basada en el calor específico del agua. Así, se define caloría como la cantidad de energía calorífica necesaria para elevar un grado centígrado la temperatura de un gramo de agua pura, desde 14,5 °C a 15,5 °C, a una presión normal de una atmósfera.","https://www.clinicalascondes.cl/CENTROS-Y-ESPECIALIDADES/Centros/Centro-de-Nutricion/Nutricion/Calorias#:~:text=La%20definici%C3%B3n%20t%C3%A9cnica%20de%20calor%C3%ADa,presi%C3%B3n%20normal%20de%20una%20atm%C3%B3sfera.",https://www.clinicalascondes.cl › Nutricion › Calorias,,"La definición técnica de caloría corresponde a una unidad de energía basada en el calor específico del agua. Así, se define caloría como la cantidad de energía calorífica necesaria para elevar un grado centígrado la temperatura de un gramo de agua pura, desde 14,5 °C a 15,5 °C, a una presión normal de una atmósfera.",,[],,,https://serpapi.com/searches/627cffab9bddf70078c2144b/images/e3d9ef384a9c073d429e15b7b560a8cda9ffe3ee6020b830.jpeg,
0,organic_result,,,,,Energía renovable,es,ES,58,"Definición: ¿Qué son las energías renovables? Se dice que una energía es renovable cuando su fuente de energía se basa en la utilización de recursos naturales inagotables, como el sol, el viento, el agua o la biomasa.25 mar 2022",https://climate.selectra.com/es/que-es/energias-renovables,https://climate.selectra.com › Inicio › Que Es,25 mar 2022,"Definición: ¿Qué son las energías renovables? Se dice que una energía es renovable cuando su fuente de energía se basa en la utilización de recursos naturales inagotables, como el sol, el viento, el agua o la biomasa.",,[],,,https://serpapi.com/searches/627cffb45fc493a2daa7eaba/images/cf63be938d7cb2d91bf50453fc0add49735cc3c816eb2ae4.jpeg,
0,organic_result,,,,,Contaminación del suelo,es,ES,65,"Se entiende por contaminación del suelo un proceso de degradación por causas físicas o químicas que provoca la pérdida total o parcial de su productividad, generando efectos nocivos para los organismos vivos o las personas.18 ene 2022",https://www.ceupe.mx/blog/que-es-la-contaminacion-del-suelo.html,https://www.ceupe.mx › que-es-la-contaminacion-del-suelo,18 ene 2022,"Se entiende por contaminación del suelo un proceso de degradación por causas físicas o químicas que provoca la pérdida total o parcial de su productividad, generando efectos nocivos para los organismos vivos o las personas.",,[],,,,
0,organic_result,,,,,Gas de efecto invernadero,es,ES,66,Efecto invernadero: causas y consecuencias en el clima,https://climate.selectra.com/es/que-es/efecto-invernadero,https://climate.selectra.com › Inicio › Que Es,25 mar 2022,Los gases responsables del efecto invernadero son los siguientes:,,[],,,,"['Vapor de agua (H2O);', 'Dióxido de carbono (CO2);', 'Metano (CH4);', 'Óxido nitroso (N2O);', 'Ozono (O3).']"
