,position,title,link,displayed_link,date,snippet,snippet_highlighted_words,sitelinks,about_this_result,about_page_link,cached_page_link,related_pages_link,rich_snippet,query,lang,country,termid,related_results,related_questions,thumbnail,images
0,1,"Calories: Requirements, health needs, and function - Medical ...",https://www.medicalnewstoday.com/articles/263028,https://www.medicalnewstoday.com › articles,2 days ago,"A calorie is a unit of energy. In nutrition, calories refer to the energy people get from the food and drink they consume, and the energy ...","['calorie', 'calories']","{'inline': [{'title': 'What are calories?', 'link': 'https://www.medicalnewstoday.com/articles/263028#what-are-calories'}, {'title': 'Daily requirement', 'link': 'https://www.medicalnewstoday.com/articles/263028#daily-requirement'}, {'title': 'Calories and health', 'link': 'https://www.medicalnewstoday.com/articles/263028#calories-and-health'}]}","{'source': {'description': 'Medical News Today is a web-based outlet for medical information and news, targeted at both the general public and physicians. All posted content is available online, and the earliest available article dates from May 2003.\nThe website has been owned by Healthline Media since 2016.', 'source_info_link': 'https://en.wikipedia.org/wiki/Medical_News_Today', 'icon': 'https://serpapi.com/searches/627cfef05b54ef20a59cee14/images/cb7d018e8687de29993f84f5d3ef6b375204d5e355fd44cae9a52d81c513a714393e015e89c32216af031859a37d92f1.png'}}",https://www.google.com/search?q=About+https://www.medicalnewstoday.com/articles/263028&tbm=ilp&ilps=ADNMCi1Fc955iEo5fMOa7rKuQ0EsvBIgtQ,https://webcache.googleusercontent.com/search?q=cache:bU10FptHYuEJ:https://www.medicalnewstoday.com/articles/263028+&cd=11&hl=en&ct=clnk&gl=ng,,,Calorie,en,NG,56,,,,
1,2,Calorie Calculator,https://www.calculator.net/calorie-calculator.html,https://www.calculator.net › fitness & health,,"This calorie calculator estimates the number of calories needed each day to maintain, lose, or gain weight. Learn the kinds of calories and their effects.","['calorie', 'calories', 'calories']",,"{'source': {'description': 'calculator.net was first indexed by Google more than 10 years ago', 'icon': 'https://serpapi.com/searches/627cfef05b54ef20a59cee14/images/cb7d018e8687de29993f84f5d3ef6b379e0c8a9e1963f4eadb4fe7301d546d405a2053a0f767504405e89b56e15ce1d2.png'}}",https://www.google.com/search?q=About+https://www.calculator.net/calorie-calculator.html&tbm=ilp&ilps=ADNMCi12ppgBpl5Pk6I8blyqXEzfmv3zPA,https://webcache.googleusercontent.com/search?q=cache:JtuhELCrbo0J:https://www.calculator.net/calorie-calculator.html+&cd=12&hl=en&ct=clnk&gl=ng,,,Calorie,en,NG,56,,,,
2,3,Calorie - Wikipedia,https://en.wikipedia.org/wiki/Calorie,https://en.wikipedia.org › wiki › Calorie,,"The calorie is a unit of energy. ... For historical reasons, two main definitions of ""calorie"" are in wide use. The large calorie, food calorie, or kilogram ...","['calorie', 'calorie', 'calorie', 'calorie']","{'inline': [{'title': 'Calorie (disambiguation)', 'link': 'https://en.wikipedia.org/wiki/Calorie_(disambiguation)'}, {'title': 'Food energy', 'link': 'https://en.wikipedia.org/wiki/Food_energy'}, {'title': 'Units of energy', 'link': 'https://en.wikipedia.org/wiki/Units_of_energy'}, {'title': 'Empty calories', 'link': 'https://en.wikipedia.org/wiki/Empty_calories'}]}","{'source': {'description': 'Wikipedia is a multilingual open online encyclopedia written and maintained by a community of volunteers through open collaboration and a wiki-based editing system. Individual contributors, also called editors, are known as Wikipedians. Wikipedia is the largest and most-read reference work in history.', 'source_info_link': 'https://en.wikipedia.org/wiki/Wikipedia', 'icon': 'https://serpapi.com/searches/627cfef05b54ef20a59cee14/images/cb7d018e8687de29993f84f5d3ef6b371a295454b517f57004ef196a32e8625649c014ba99a52f292b018d89be086e7c.png'}}",https://www.google.com/search?q=About+https://en.wikipedia.org/wiki/Calorie&tbm=ilp&ilps=ADNMCi2HmKBPMk8_Qg_MnmCVA1IYQWRwDg,https://webcache.googleusercontent.com/search?q=cache:PhRx66uLZm8J:https://en.wikipedia.org/wiki/Calorie+&cd=13&hl=en&ct=clnk&gl=ng,https://www.google.com/search?hl=en&gl=NG&q=related:https://en.wikipedia.org/wiki/Calorie+Calorie,,Calorie,en,NG,56,,,,
3,4,Understanding calories - NHS,https://www.nhs.uk/live-well/healthy-weight/managing-your-weight/understanding-calories/,https://www.nhs.uk › ... › Managing your weight,,"The amount of energy in an item of food or drink is measured in calories. When we eat and drink more calories than we use up, our bodies store the excess as ...","['calories', 'calories']",,"{'source': {'description': 'www.nhs.uk was first indexed by Google more than 10 years ago', 'icon': 'https://serpapi.com/searches/627cfef05b54ef20a59cee14/images/cb7d018e8687de29993f84f5d3ef6b373e1f20c9a49c8dc3713d23a5b9d831a50d0f46c1b641b17277749b77b6a50142.png'}}",https://www.google.com/search?q=About+https://www.nhs.uk/live-well/healthy-weight/managing-your-weight/understanding-calories/&tbm=ilp&ilps=ADNMCi0IPRwV49r8_Fjs3R8NBRbmPFEpMA,https://webcache.googleusercontent.com/search?q=cache:W0Rro8VmzsAJ:https://www.nhs.uk/live-well/healthy-weight/managing-your-weight/understanding-calories/+&cd=14&hl=en&ct=clnk&gl=ng,,,Calorie,en,NG,56,,,,
4,5,Learning About Calories (for Kids) - Nemours KidsHealth,https://kidshealth.org/en/kids/calorie.html,https://kidshealth.org › kids › calorie,,"When people talk about the calories in food, what do they mean? A calorie is a unit of measurement — but it doesn't measure weight or length.","['calories', 'calorie']",,"{'source': {'description': 'kidshealth.org was first indexed by Google more than 10 years ago', 'icon': 'https://serpapi.com/searches/627cfef05b54ef20a59cee14/images/cb7d018e8687de29993f84f5d3ef6b3776491b06cf2365a09006fd486b096d1ad2c8a23e89f0e4e0cffc2fe6e81238fc.png'}}",https://www.google.com/search?q=About+https://kidshealth.org/en/kids/calorie.html&tbm=ilp&ilps=ADNMCi2D4IxMaPYG_8zJfZztbQ8dEAMGtQ,https://webcache.googleusercontent.com/search?q=cache:jjDMpndxo5UJ:https://kidshealth.org/en/kids/calorie.html+&cd=25&hl=en&ct=clnk&gl=ng,,,Calorie,en,NG,56,,,,
5,6,What Are Calories? | Live Science,https://www.livescience.com/52802-what-is-a-calorie.html,https://www.livescience.com › 52802-what-is-a-calorie,13 Nov 2015,"A calorie is a unit of energy. Historically, scientists have defined ""calorie"" to mean a unit of energy or heat that could come from a ...","['calorie', 'calorie']",,"{'source': {'description': 'Live Science is a science news website run by Future via Purch, which it purchased from Imaginova in 2009. Stories and editorial commentary are typically syndicated to major news outlets, such as Yahoo!, MSNBC, AOL, and Fox News.', 'source_info_link': 'https://en.wikipedia.org/wiki/Live_Science', 'icon': 'https://serpapi.com/searches/627cfef05b54ef20a59cee14/images/cb7d018e8687de29993f84f5d3ef6b3767c807139387b07ad3d8c512945bf4dc5373f25a3045cbc5f4ea84993dfa41e6.png'}}",https://www.google.com/search?q=About+https://www.livescience.com/52802-what-is-a-calorie.html&tbm=ilp&ilps=ADNMCi0G0GhuVZj0f-e3YSVBF-jeU7bW6Q,https://webcache.googleusercontent.com/search?q=cache:y1UstvLlvo0J:https://www.livescience.com/52802-what-is-a-calorie.html+&cd=26&hl=en&ct=clnk&gl=ng,,,Calorie,en,NG,56,,,,
6,7,How Many Calories Should You Eat per Day to Lose Weight?,https://www.healthline.com/nutrition/how-many-calories-per-day,https://www.healthline.com › nutrition › how-many-cal...,,"Simply put, a calorie is a unit that measures energy. Calories are usually used to measure the energy content of foods and beverages. To lose weight, you need ...","['calorie', 'Calories']",,"{'source': {'description': 'Healthline Media, Inc. is an American website and provider of health information headquartered in San Francisco, California. It was founded in its current form 2006 and established as a standalone entity in January 2016.', 'source_info_link': 'https://en.wikipedia.org/wiki/Healthline', 'icon': 'https://serpapi.com/searches/627cfef05b54ef20a59cee14/images/cb7d018e8687de29993f84f5d3ef6b37078e980372ccfab5dbce63126733a1740d31d1ed618a4d69c29b0e563fa97c4e.png'}}",https://www.google.com/search?q=About+https://www.healthline.com/nutrition/how-many-calories-per-day&tbm=ilp&ilps=ADNMCi3y9d3KrX47RLTWzl9wX8Ir7vXn8A,https://webcache.googleusercontent.com/search?q=cache:uP8clskmVnwJ:https://www.healthline.com/nutrition/how-many-calories-per-day+&cd=27&hl=en&ct=clnk&gl=ng,,,Calorie,en,NG,56,,,,
7,8,What Is a Calorie? How to Use Calorie Counts to Meet Goals,https://www.verywellfit.com/what-is-a-calorie-and-why-should-i-care-3496238,https://www.verywellfit.com › ... › Weight Loss,18 Apr 2022,"""Simply put, a calorie is the unit of energy our food supplies,"" says Stacey Pence, RD, a registered dietician at The Ohio State University ...",['calorie'],,"{'source': {'description': 'verywellfit.com was first indexed by Google in February 2018', 'icon': 'https://serpapi.com/searches/627cfef05b54ef20a59cee14/images/cb7d018e8687de29993f84f5d3ef6b3763133adba5a8d39cb2fce125925c38d41ee3913b59f5a0e289b02a30ebbe529e.png'}}",https://www.google.com/search?q=About+https://www.verywellfit.com/what-is-a-calorie-and-why-should-i-care-3496238&tbm=ilp&ilps=ADNMCi3nUqK_kSQoiRo-j0MkSx-UTKmW6g,https://webcache.googleusercontent.com/search?q=cache:ZlqNBqm6VH0J:https://www.verywellfit.com/what-is-a-calorie-and-why-should-i-care-3496238+&cd=28&hl=en&ct=clnk&gl=ng,,,Calorie,en,NG,56,,,,
0,1,Renewable Energy: The Clean Facts - NRDC,https://www.nrdc.org/stories/renewable-energy-clean-facts,https://www.nrdc.org › stories › renewable-energy-clea...,15 Jun 2018,"Renewable energy, often referred to as clean energy, comes from natural sources or processes that are constantly replenished.",['Renewable energy'],"{'inline': [{'title': 'Clean Energy', 'link': 'https://www.nrdc.org/issues/clean-energy'}, {'title': ""NRDC's Annual Energy Reports"", 'link': 'https://www.nrdc.org/resources/nrdcs-annual-energy-reports'}, {'title': 'Lora Shinn', 'link': 'https://www.nrdc.org/authors/lora-shinn'}]}","{'source': {'description': 'The Natural Resources Defense Council is a United States-based 501 non-profit international environmental advocacy group, with its headquarters in New York City and offices in Washington D.C., San Francisco, Los Angeles, New Delhi, Chicago, Bozeman, and Beijing.', 'source_info_link': 'https://en.wikipedia.org/wiki/Natural_Resources_Defense_Council', 'icon': 'https://serpapi.com/searches/627cfef39f55b30b2e4134cd/images/d8ccc29e74f5112da8e1a8adfb440214e40be916f85e5d7831504f01da993a55529dfed7723cec7bcd9040349bd0db50.png'}}",https://www.google.com/search?q=About+https://www.nrdc.org/stories/renewable-energy-clean-facts&tbm=ilp&ilps=ADNMCi0TOVo2fl9hQoXVTnlf54t2fk4_Zg,https://webcache.googleusercontent.com/search?q=cache:hGZdgF3n0-oJ:https://www.nrdc.org/stories/renewable-energy-clean-facts+&cd=15&hl=en&ct=clnk&gl=ng,,,Renewable Energy,en,NG,58,,,,
1,2,"What is Renewable Energy? - Definition, Types, Benefits and ...",https://www.twi-global.com/technical-knowledge/faqs/renewable-energy,https://www.twi-global.com › technical-knowledge › faqs,,"Renewable energy comes from sources or processes that are constantly replenished. These sources of energy include solar energy, wind energy, ...",['Renewable energy'],,"{'source': {'description': 'The Welding Institute is a research and technology organisation, with a specialty in welding. With headquarters six miles south of Cambridge, Cambridgeshire, England, since 1946, and with facilities across the UK and around the world.', 'source_info_link': 'https://en.wikipedia.org/wiki/The_Welding_Institute', 'icon': 'https://serpapi.com/searches/627cfef39f55b30b2e4134cd/images/d8ccc29e74f5112da8e1a8adfb44021450a949053b20982995b1d32cc08258ca82296b3aae19071f58977048b6741c7c.png'}}",https://www.google.com/search?q=About+https://www.twi-global.com/technical-knowledge/faqs/renewable-energy&tbm=ilp&ilps=ADNMCi0yjyJMsizquA81hXy7LP88zfDuaA,https://webcache.googleusercontent.com/search?q=cache:Wp71_dpFvagJ:https://www.twi-global.com/technical-knowledge/faqs/renewable-energy+&cd=16&hl=en&ct=clnk&gl=ng,,,Renewable Energy,en,NG,58,,,,
2,3,Renewable energy explained - EIA,https://www.eia.gov/energyexplained/renewable-sources/,https://www.eia.gov › renewable-sources,,Renewable energy is energy from sources that are naturally replenishing but flow-limited; renewable resources are virtually inexhaustible in duration but ...,['Renewable energy'],,"{'source': {'description': 'The U.S. Energy Information Administration is a principal agency of the U.S. Federal Statistical System responsible for collecting, analyzing, and disseminating energy information to promote sound ...', 'source_info_link': 'https://en.wikipedia.org/wiki/Energy_Information_Administration', 'icon': 'https://serpapi.com/searches/627cfef39f55b30b2e4134cd/images/d8ccc29e74f5112da8e1a8adfb4402149f702d02278d58862714ad2f92fcff3beb86bca5bd2e0b471bba0a6873e22816.png'}}",https://www.google.com/search?q=About+https://www.eia.gov/energyexplained/renewable-sources/&tbm=ilp&ilps=ADNMCi14WkJmN_yAZjOtqFc_UkDXhw8b3Q,https://webcache.googleusercontent.com/search?q=cache:XYejKwT20p4J:https://www.eia.gov/energyexplained/renewable-sources/+&cd=20&hl=en&ct=clnk&gl=ng,,,Renewable Energy,en,NG,58,,,,
3,4,Renewable Energy - Journal - Elsevier,https://www.journals.elsevier.com/renewable-energy,https://www.journals.elsevier.com › Journals,,"The journal, Renewable Energy, seeks to promote and disseminate knowledge on the various topics and technologies of renewable energy systems and components.","['Renewable Energy', 'renewable energy']",,"{'source': {'description': 'Elsevier is a Netherlands-based academic publishing company specializing in scientific, technical, and medical content.', 'source_info_link': 'https://en.wikipedia.org/wiki/Elsevier'}}",https://www.google.com/search?q=About+https://www.journals.elsevier.com/renewable-energy&tbm=ilp&ilps=ADNMCi1RrBNm9KyrynFVls45OK8m-FrycA,https://webcache.googleusercontent.com/search?q=cache:pCYz3oV4N5kJ:https://www.journals.elsevier.com/renewable-energy+&cd=21&hl=en&ct=clnk&gl=ng,,,Renewable Energy,en,NG,58,,,,
4,5,"Renewable Energy | Types, Forms & Sources | EDF",https://www.edfenergy.com/for-home/energywise/renewable-energy-sources,https://www.edfenergy.com › for-home › energywise,,The most popular renewable energy sources currently are: Solar energy; Wind energy; Hydro energy; Tidal energy; Geothermal energy; Biomass energy. How these ...,['renewable energy'],,"{'source': {'description': 'EDF Energy is a British integrated energy company, wholly owned by the French state owned EDF, with operations spanning electricity generation and the sale of natural gas and electricity to homes and businesses throughout the United Kingdom.', 'source_info_link': 'https://en.wikipedia.org/wiki/EDF_Energy', 'icon': 'https://serpapi.com/searches/627cfef39f55b30b2e4134cd/images/d8ccc29e74f5112da8e1a8adfb44021414a292e4d40d0371827610b8ccbf087d84c496156ea433fedbdc72167b2bac10.png'}}",https://www.google.com/search?q=About+https://www.edfenergy.com/for-home/energywise/renewable-energy-sources&tbm=ilp&ilps=ADNMCi0uqPcp3hEZgkqnSvlCv1uf37zOpw,https://webcache.googleusercontent.com/search?q=cache:9UY1RDKadM8J:https://www.edfenergy.com/for-home/energywise/renewable-energy-sources+&cd=22&hl=en&ct=clnk&gl=ng,,,Renewable Energy,en,NG,58,,,,
5,6,"renewable energy | Types, Advantages, & Facts | Britannica",https://www.britannica.com/science/renewable-energy,https://www.britannica.com › science › renewable-energy,,"renewable energy, also called alternative energy, usable energy derived from replenishable sources such as the Sun (solar energy), wind (wind power), ...","['renewable energy', 'alternative energy']",,"{'source': {'description': 'britannica.com was first indexed by Google more than 10 years ago', 'icon': 'https://serpapi.com/searches/627cfef39f55b30b2e4134cd/images/d8ccc29e74f5112da8e1a8adfb44021436fbcd9b1d21e521bba28e68eb6f3810f1396c194d99d253038864de5933dda5.png'}}",https://www.google.com/search?q=About+https://www.britannica.com/science/renewable-energy&tbm=ilp&ilps=ADNMCi2aUvJblNUhWeMPYqeNJm4znj6YmA,https://webcache.googleusercontent.com/search?q=cache:2o4jSgksSoQJ:https://www.britannica.com/science/renewable-energy+&cd=23&hl=en&ct=clnk&gl=ng,https://www.google.com/search?ucbcb=1&gl=NG&hl=en&q=related:https://www.britannica.com/science/renewable-energy+Renewable+Energy,,Renewable Energy,en,NG,58,,,,
6,7,7 Types of Renewable Energy: The Future of Energy,https://justenergy.com/blog/7-types-renewable-energy-future-of-energy/,https://justenergy.com › Blog,,"Renewable energy is energy that has been derived from earth's natural resources that are not finite or exhaustible, such as wind and sunlight.",['Renewable energy'],,"{'source': {'description': 'Just Energy Group Inc. is a Canadian-based natural gas and electricity retailer operating in Canadian and American markets across North America, and in Germany, Ireland and Japan.', 'source_info_link': 'https://en.wikipedia.org/wiki/Just_Energy', 'icon': 'https://serpapi.com/searches/627cfef39f55b30b2e4134cd/images/d8ccc29e74f5112da8e1a8adfb440214775d8599e75b3e89f44e159acd4e66c07bb169cf50bac28e017f17d94ac9e54b.png'}}",https://www.google.com/search?q=About+https://justenergy.com/blog/7-types-renewable-energy-future-of-energy/&tbm=ilp&ilps=ADNMCi1lyJ1Ylm04LQT04JFlB15cgFQRIQ,https://webcache.googleusercontent.com/search?q=cache:oW2iul62qZMJ:https://justenergy.com/blog/7-types-renewable-energy-future-of-energy/+&cd=27&hl=en&ct=clnk&gl=ng,,,Renewable Energy,en,NG,58,,,,
0,1,Climate change - WHO | World Health Organization,https://www.who.int/health-topics/climate-change,https://www.who.int › Health topics,,"Climate change is impacting human lives and health in a variety of ways. It threatens the essential ingredients of good health – clean air, safe drinking ...",['Climate change'],"{'inline': [{'title': 'Health', 'link': 'https://www.who.int/news-room/fact-sheets/detail/climate-change-and-health'}, {'title': 'Climate Change and Health', 'link': 'https://www.who.int/teams/environment-climate-change-and-health/climate-change-and-health'}, {'title': 'Adaptation Action Coalition...', 'link': 'https://www.who.int/news-room/events/detail/2021/05/06/default-calendar/adaptation-action-coalition-health-launch'}]}","{'source': {'description': 'The World Health Organization is a specialized agency of the United Nations responsible for international public health. The WHO Constitution states its main objective as ""the attainment by all peoples of the highest possible level of health"".', 'source_info_link': 'https://en.wikipedia.org/wiki/World_Health_Organization', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/4fc020c2a951c85eba852ab85785ca9863d3cfe7d054fde9df5aa1d48f8ade7a00b1e96d0e9bb6df10b5a49490bf53e2.png'}}",https://www.google.com/search?q=About+https://www.who.int/health-topics/climate-change&tbm=ilp&ilps=ADNMCi2FN0Q7Fcz6Cd3itug7MitY2Foe9w,https://webcache.googleusercontent.com/search?q=cache:M3iN6gIMsOgJ:https://www.who.int/health-topics/climate-change+&cd=14&hl=en&ct=clnk&gl=ng,,,Climate change,en,NG,59,,,,
1,2,"climate change | Definition, Causes, Effects, & Facts | Britannica",https://www.britannica.com/science/climate-change,https://www.britannica.com › ... › Earth Sciences,,"climate change, periodic modification of Earth's climate brought about as a result of changes in the atmosphere as well as interactions between the ...",['climate change'],"{'inline': [{'title': 'Evidence for climate change', 'link': 'https://www.britannica.com/science/climate-change/Evidence-for-climate-change'}, {'title': 'Climate change since the...', 'link': 'https://www.britannica.com/science/climate-change/Climate-change-since-the-advent-of-humans'}, {'title': 'Greenhouse gases', 'link': 'https://www.britannica.com/science/climate-change/Greenhouse-gases'}]}","{'source': {'description': 'britannica.com was first indexed by Google more than 10 years ago', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/4fc020c2a951c85eba852ab85785ca98b9e84e0f47b4503cf24b5a0c2d7f4473cee6419cc8e2352a13135914ab361934.png'}}",https://www.google.com/search?q=About+https://www.britannica.com/science/climate-change&tbm=ilp&ilps=ADNMCi3dQvYNcb1a9fs4egjzBEBz2DeRnA,https://webcache.googleusercontent.com/search?q=cache:LB-PHOO-Hn4J:https://www.britannica.com/science/climate-change+&cd=15&hl=en&ct=clnk&gl=ng,https://www.google.com/search?gl=NG&hl=en&q=related:https://www.britannica.com/science/climate-change+Climate+change,,Climate change,en,NG,59,,,,
2,3,Climate Change - United Nations Sustainable Development,https://www.un.org/sustainabledevelopment/climate-change/,https://www.un.org › sustainabledevelopment › climate-ch...,,"Climate change is affecting every country on every continent. It is disrupting national economies and affecting lives. Weather patterns are changing, ...",['Climate change'],,"{'source': {'description': 'The United Nations is an intergovernmental organization whose purpose is to maintain international peace and security, develop friendly relations among nations, achieve international cooperation, and be a centre for harmonizing the actions of nations.', 'source_info_link': 'https://en.wikipedia.org/wiki/United_Nations', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/4fc020c2a951c85eba852ab85785ca9818790f08687701bb65c33aff745e512ceaeb0da7161479d272240acba9658299.png'}}",https://www.google.com/search?q=About+https://www.un.org/sustainabledevelopment/climate-change/&tbm=ilp&ilps=ADNMCi1-qYvVGBVkjWiQ6y_m1vwqNSuEiw,,,"{'top': {'detected_extensions': {'sept': 22}, 'extensions': ['22 Sept 2019', 'Uploaded by World Meteorological Organization', 'WMO']}}",Climate change,en,NG,59,,,,
3,4,Vital Signs of the Planet - Causes | Facts – Climate Change,https://climate.nasa.gov/causes/,https://climate.nasa.gov › causes,12 Jul 2009,"Climate change can cause new patterns of pests and diseases to emerge, affecting plants, animals and humans, and posing new risks for food security, food safety ...",['Climate change'],,"{'source': {'description': 'The National Aeronautics and Space Administration is an independent agency of the U.S. federal government responsible for the civilian space program, as well as aeronautics and space research.\nNASA was established in 1958, succeeding the National Advisory Committee for Aeronautics.', 'source_info_link': 'https://en.wikipedia.org/wiki/NASA', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/4fc020c2a951c85eba852ab85785ca9827a76ed5b4a8eb35bcc11a51794b306410f226272a077fa55da6227d7f4375c1.png'}}",https://www.google.com/search?q=About+https://climate.nasa.gov/causes/&tbm=ilp&ilps=ADNMCi2Mu3yO8-3nvoRHFgIyOsMYxdt6jA,https://webcache.googleusercontent.com/search?q=cache:fO90kCSMD8MJ:https://climate.nasa.gov/causes/+&cd=28&hl=en&ct=clnk&gl=ng,,,Climate change,en,NG,59,,,,
4,5,Vital Signs of the Planet - Effects | Facts – Climate Change,https://climate.nasa.gov/effects/,https://climate.nasa.gov › effects,,"Global climate change has already had observable effects on the environment. Glaciers have shrunk, ice on rivers and lakes is breaking up earlier, plant and ...",['climate change'],,"{'source': {'description': 'The National Aeronautics and Space Administration is an independent agency of the U.S. federal government responsible for the civilian space program, as well as aeronautics and space research.\nNASA was established in 1958, succeeding the National Advisory Committee for Aeronautics.', 'source_info_link': 'https://en.wikipedia.org/wiki/NASA', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/4fc020c2a951c85eba852ab85785ca988c7c3ba0f9ad2c51d2593cca90b634ee3a7e18552ae8a1439daff653408b83db.png'}}",https://www.google.com/search?q=About+https://climate.nasa.gov/effects/&tbm=ilp&ilps=ADNMCi3IvhAQLVlxq1kUePO83wJwpm8VSw,https://webcache.googleusercontent.com/search?q=cache:kz83r1N8_EUJ:https://climate.nasa.gov/effects/+&cd=29&hl=en&ct=clnk&gl=ng,,,Climate change,en,NG,59,,,,
5,6,Climate change: evidence and causes | Royal Society,https://royalsociety.org/topics-policy/projects/climate-change-evidence-causes/basics-of-climate-change/,https://royalsociety.org › basics-of-climate-change,,Warming and precipitation changes are altering the geographical ranges of many plant and animal species and the timing of their life cycles. In addition to the ...,['changes'],,"{'source': {'description': ""The Royal Society, formally The Royal Society of London for Improving Natural Knowledge, is a learned society and the United Kingdom's national academy of sciences."", 'source_info_link': 'https://en.wikipedia.org/wiki/Royal_Society', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/4fc020c2a951c85eba852ab85785ca98f4a90858fdf4c05858544b10e70d3ff394bc16a95224fc6af2fa870e3793be93.png'}}",https://www.google.com/search?q=About+https://royalsociety.org/topics-policy/projects/climate-change-evidence-causes/basics-of-climate-change/&tbm=ilp&ilps=ADNMCi1Gqx7X0svgRvp68fMgtDLVwbv_Pg,https://webcache.googleusercontent.com/search?q=cache:BJelGA4sYBIJ:https://royalsociety.org/topics-policy/projects/climate-change-evidence-causes/basics-of-climate-change/+&cd=30&hl=en&ct=clnk&gl=ng,https://www.google.com/search?gl=NG&hl=en&q=related:https://royalsociety.org/topics-policy/projects/climate-change-evidence-causes/basics-of-climate-change/+Climate+change,,Climate change,en,NG,59,,,,
6,7,united nations framework convention on climate change ...,https://unfccc.int/files/essential_background/background_publications_htmlpdf/application/pdf/conveng.pdf,https://unfccc.int › application › pdf › conveng,33 pages,"For the purposes of this Convention: 1. ""Adverse effects of climate change"" means changes in the physical environment or biota resulting from climate change ...",['climate change'],,"{'source': {'description': 'The United Nations Framework Convention on Climate Change established an international environmental treaty to combat ""dangerous human interference with the climate system"", in part by stabilizing greenhouse gas concentrations in the atmosphere.', 'source_info_link': 'https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/4fc020c2a951c85eba852ab85785ca98d5de3cc085aee58bf33775dc7640dcc36d7982de73e5581b8f1b4fd0a7a45a3b.png'}}",https://www.google.com/search?q=About+https://unfccc.int/files/essential_background/background_publications_htmlpdf/application/pdf/conveng.pdf&tbm=ilp&ilps=ADNMCi0f4GrAwdiGXTZCB6f3yWpTq5WviQ,https://webcache.googleusercontent.com/search?q=cache:cr2n0YMwmkEJ:https://unfccc.int/files/essential_background/background_publications_htmlpdf/application/pdf/conveng.pdf+&cd=31&hl=en&ct=clnk&gl=ng,https://www.google.com/search?gl=NG&hl=en&q=related:https://unfccc.int/files/essential_background/background_publications_htmlpdf/application/pdf/conveng.pdf+Climate+change,,Climate change,en,NG,59,,,,
7,8,Causes of climate change - European Commission,https://ec.europa.eu/clima/climate-change/causes-climate-change_en,https://ec.europa.eu › clima › causes-climate-change_en,,"CO2 produced by human activities is the largest contributor to global warming. By 2020, its concentration in the atmosphere had risen to 48% above its pre- ...",['global warming'],,"{'source': {'description': 'ec.europa.eu was first indexed by Google more than 10 years ago', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/4fc020c2a951c85eba852ab85785ca98de087e883cdd22ff43abe6bdcb9e6a7782d47c1fac456a8cff4c9a4b47ad294b.png'}}",https://www.google.com/search?q=About+https://ec.europa.eu/clima/climate-change/causes-climate-change_en&tbm=ilp&ilps=ADNMCi2MUkQf-YRC1kb1Zn9XRnrdgmTOgw,https://webcache.googleusercontent.com/search?q=cache:67iEgRMhJeUJ:https://ec.europa.eu/clima/climate-change/causes-climate-change_en+&cd=32&hl=en&ct=clnk&gl=ng,,,Climate change,en,NG,59,,,,
8,9,Causes of Climate Change | US EPA,https://www.epa.gov/climatechange-science/causes-climate-change,https://www.epa.gov › climatechange-science › causes-c...,23 Feb 2022,Burning fossil fuels changes the climate more than any other human activity.,"['changes', 'climate']",,"{'source': {'description': 'The Environmental Protection Agency is an independent executive agency of the United States federal government tasked with environmental protection matters. President Richard Nixon proposed the establishment of EPA on July 9, 1970; it began operation on December 2, 1970, after Nixon signed an executive order.', 'source_info_link': 'https://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency', 'icon': 'https://serpapi.com/searches/627cfef6303eb1c5cbbf3be3/images/4fc020c2a951c85eba852ab85785ca988b93cd606e663f195adcf98b16614cddee2f4e8572740a40e9b6f9369b6e6bb0.png'}}",https://www.google.com/search?q=About+https://www.epa.gov/climatechange-science/causes-climate-change&tbm=ilp&ilps=ADNMCi1NeCTWtjHV1S29Hc-VTi4abRxUVA,https://webcache.googleusercontent.com/search?q=cache:VJoFzoo2U9gJ:https://www.epa.gov/climatechange-science/causes-climate-change+&cd=33&hl=en&ct=clnk&gl=ng,,,Climate change,en,NG,59,,,,
