,question,snippet,title,link,displayed_link,list,query,lang,country,termid
2,What is soil contamination effects?,"Soil pollution causes a chain reaction. It alters soils' biodiversity, reduces soil organic matter and soils' capacity to act as a filter. It also contaminates the water stored in the soil and groundwater, and causes an imbalance of soil nutrients.May 2, 2018",Polluting our soils is polluting our future | FAO Stories,https://www.fao.org/fao-stories/article/en/c/1126974/,https://www.fao.org › fao-stories › article,,Soil contamination,en,US,65
3,What is the most common soil contaminant?,,Examples of the most common and problematic soil pollutants can be found below.,https://www.environmentalpollutioncenters.org/soil/,https://www.environmentalpollutioncenters.org › soil,"['Lead (Pb) ... ', 'Mercury (Hg) ... ', 'Arsenic (As) ... ', 'Copper (Cu) ... ', 'Zinc (Zn) ... ', 'Nickel (Ni) ... ', 'PAHs (polyaromatic hydrocarbons) ... ', 'Herbicides/Insecticides.']",Soil contamination,en,US,65
0,What are the 4 main greenhouse gases?,,Overview of Greenhouse Gases,https://www.epa.gov/ghgemissions/overview-greenhouse-gases,https://www.epa.gov › ghgemissions › overview-greenh...,"['Overview.', 'Carbon Dioxide.', 'Methane.', 'Nitrous Oxide.', 'Fluorinated Gases.']",Greenhouse gas,en,US,66
1,What are the 7 greenhouse gases?,,What are the types of greenhouse gases?,https://www.eia.gov/energyexplained/energy-and-the-environment/greenhouse-gases.php,https://www.eia.gov › energyexplained › greenhouse-g...,"['Carbon dioxide (CO2)', 'Methane (CH4)', 'Nitrous oxide (N2O)', 'Industrial gases: Hydrofluorocarbons (HFCs) Perfluorocarbons (PFCs) Sulfur hexafluoride (SF6) Nitrogen trifluoride (NF3)']",Greenhouse gas,en,US,66
2,How do greenhouse gases cause global warming?,"Greenhouse gases The main driver of climate change is the greenhouse effect. Some gases in the Earth's atmosphere act a bit like the glass in a greenhouse, trapping the sun's heat and stopping it from leaking back into space and causing global warming.",Causes of climate change - European Commission,https://ec.europa.eu/clima/climate-change/causes-climate-change_en,https://ec.europa.eu › clima › causes-climate-change_en,,Greenhouse gas,en,US,66
3,Why is it called greenhouse gases?,"Greenhouse gases A greenhouse gas is called that because it absorbs infrared radiation from the Sun in the form of heat, which is circulated in the atmosphere and eventually lost to space.",The greenhouse effect - British Geological Survey,https://www.bgs.ac.uk/discovering-geology/climate-change/how-does-the-greenhouse-effect-work/,https://www.bgs.ac.uk › climate-change › how-does-the-g...,,Greenhouse gas,en,US,66
0,What are the 4 types of infections?,"The four different categories of infectious agents are bacteria, viruses, fungi, and parasites. When studying these agents, researchers isolate them using certain characteristics: Size of the infectious agent.Jun 18, 2020",Different Types of Infectious Diseases | Nanocellect,https://nanocellect.com/blog/different-types-of-infectious-diseases/,https://nanocellect.com › blog › different-types-of-infecti...,,Infection,en,US,68
1,What are the five signs of an infection?,,Signs of Infection,https://physicianoneurgentcare.com/blog/signs-of-infection/,https://physicianoneurgentcare.com › blog › signs-of-infe...,"['Increased pain or swelling.', 'A foul smell from the wound.', 'Pus-like drainage, fever or chills.', 'Increasing redness around the wound.', 'Red streaks moving away from the wound.']",Infection,en,US,68
2,What causes infection?,"An infection occurs when germs enter the body, increase in number, and cause a reaction of the body. Three things are necessary for an infection to occur: Source: Places where infectious agents (germs) live (e.g., sinks, surfaces, human skin) Susceptible Person with a way for germs to enter the body.",How Infections Spread | Infection Control | CDC,https://www.cdc.gov/infectioncontrol/spread/index.html,https://www.cdc.gov › infectioncontrol › spread,,Infection,en,US,68
3,What is an example of an infection?,"Infectious diseases are diseases caused by living organisms like viruses and bacteria. Described as contagious, they can be passed from person to person through body secretions, insects or other means. Examples are SARS, influenza, the common cold, tuberculosis (TB), Hepatitis A and B.",Infectious Diseases - HealthHub,https://www.healthhub.sg/a-z/diseases-and-conditions/500/examplesofinfectiousdiseases_pdf,https://www.healthhub.sg › diseases-and-conditions › exa...,,Infection,en,US,68
0,What is the flood?,"Overview. Floods are the most frequent type of natural disaster and occur when an overflow of water submerges land that is usually dry. Floods are often caused by heavy rainfall, rapid snowmelt or a storm surge from a tropical cyclone or tsunami in coastal areas.",Floods - WHO | World Health Organization,https://www.who.int/health-topics/floods,https://www.who.int › health-topics › floods,,Flood,en,US,70
1,What causes flood?,It occurs when drainage channels are filled and the rivers and streams can no longer accommodate the excessive water generated by severe weather conditions. The drainage channels then overtop their natural or artificial banks and water enters the surrounding lands to cause flooding.,What Causes Floods? - National Emergency Management ...,http://nemo.gov.vc/nemo/index.php/hazards/flooding/265-what-causes-flood,http://nemo.gov.vc › flooding › 265-what-causes-flood,,Flood,en,US,70
2,What is flood easy answer?,"The Short Answer: A flood is an overflow of water onto land that is normally dry. Floods can happen almost anywhere. They can cover an area with just a few inches of water or they can bring enough water to cover the roof of a house. Floods can be dangerous for communities, lasting days, weeks or sometimes even longer.",What Causes a Flood? | NOAA SciJinks – All About Weather,https://scijinks.gov/flood/,https://scijinks.gov › flood,,Flood,en,US,70
3,What happens during a floods?,"During a flood, water levels and the rate the water is flowing can quickly change. Remain aware and monitor local radio and television outlets. Avoid flood waters at all costs and evacuate immediately when water starts to rise.",During a Flood - National Weather Service,https://www.weather.gov/safety/flood-during,https://www.weather.gov › safety › flood-during,,Flood,en,US,70
0,What causes drought?,"Droughts are caused by low precipitation over an extended period of time. Atmospheric conditions such as climate change, ocean temperatures, changes in the jet stream, and changes in the local landscape are all factors that contribute to drought.",What is a drought and what causes it? - Global Precipitation ...,https://gpm.nasa.gov/resources/faq/what-drought-and-what-causes-it,https://gpm.nasa.gov › resources › faq › what-drought-an...,,Drought,en,US,71
1,What are 4 types of droughts?,"Categorized four basic approaches to measuring drought: meteorological, hydrological, agricultural, and socioeconomic.Mar 27, 2021",Types of Droughts - JournalsOfIndia,https://journalsofindia.com/types-of-droughts/,https://journalsofindia.com › types-of-droughts,,Drought,en,US,71
2,What are the effects of drought?,"Drought can also cause long-term public health problems, including: Shortages of drinking water and poor quality drinking water. Impacts on air quality, sanitation and hygiene, and food and nutrition. More disease, such as West Nile Virus carried by mosquitoes breeding in stagnant water.",Health Implications of Drought | CDC,https://www.cdc.gov/nceh/drought/implications.htm,https://www.cdc.gov › nceh › drought › implications,,Drought,en,US,71
3,What are 5 causes of drought?,,Various Causes of Drought,https://www.conserve-energy-future.com/causes-effects-solutions-drought.php,https://www.conserve-energy-future.com › causes-effects-...,"['Natural causes.', 'Altered weather patterns.', 'Excess water demands.', 'Deforestation and soil degradation.', 'Global warming.', 'Climate change.', 'Hunger and famine.', 'Not enough drinking water.']",Drought,en,US,71
0,What are the 4 types of malnutrition?,"There are 4 broad sub-forms of undernutrition: wasting, stunting, underweight, and deficiencies in vitamins and minerals.9 Jun 2021",Fact sheets - Malnutrition - WHO | World Health Organization,https://www.who.int/news-room/fact-sheets/detail/malnutrition,https://www.who.int › Newsroom › Fact sheets › Detail,,Malnutrition,en,NG,53
1,What are the symptoms of being malnutrition?,,Other symptoms of malnutrition include:,https://www.nhs.uk/conditions/malnutrition/symptoms/,https://www.nhs.uk › conditions › malnutrition › symptoms,"['reduced appetite.', 'lack of interest in food and drink.', 'feeling tired all the time.', 'feeling weaker.', 'getting ill often and taking a long time to recover.', 'wounds taking a long time to heal.', 'poor concentration.', 'feeling cold most of the time.']",Malnutrition,en,NG,53
2,What causes malnutrition?,"Malnutrition (undernutrition) is caused by a lack of nutrients, either as a result of a poor diet or problems absorbing nutrients from food. Certain things can increase your risk of becoming malnourished.",Malnutrition – Causes - NHS,https://www.nhs.uk/conditions/malnutrition/causes/,https://www.nhs.uk › conditions › malnutrition › causes,,Malnutrition,en,NG,53
3,What are the 2 types of malnutrition?,,Malnutrition is often split into two broad groups of conditions:,https://globalnutritionreport.org/resources/about-malnutrition/,https://globalnutritionreport.org › resources › about-maln...,"['undernutrition, including stunting, wasting, underweight and micronutrient deficiencies.', 'overweight, obesity and diet-related non-communicable diseases (NCDs).']",Malnutrition,en,NG,53
0,What do we mean by food security?,"Food Security. “Food security exists when all people, at all times, have physical and economic access to sufficient, safe and nutritious food that meets their dietary needs and food preferences for an active and. healthy life”. (",Food Security,https://www.fao.org/fileadmin/templates/faoitaly/documents/pdf/pdf_Food_Security_Cocept_Note.pdf,https://www.fao.org › faoitaly › documents › pdf,,Food Security,en,NG,54
1,What are the 5 components of food security?,,Definitions,https://www.tabledebates.org/building-blocks/what-food-security,https://www.tabledebates.org › building-blocks › what-fo...,"['Food security. ... ', 'Availability of food. ... ', 'Access to food. ... ', 'Utilisation of food. ... ', 'Stability. ... ', 'Malnutrition.']",Food Security,en,NG,54
2,What is food security example?,"Examples include soup kitchens, food banks, school lunch programs, and other programs that give food to people in need without requiring any type of commitment in return.9 Jan 2015",What is Food Security? - Resilience.org,https://www.resilience.org/stories/2015-01-09/what-is-food-security/,https://www.resilience.org › stories › what-is-food-security,,Food Security,en,NG,54
3,What is importance of food security?,"Apart from basic nutrition, food security is linked to economic stability, long-term health, women's empowerment and the environment. Food security impacts our health - especially children's. Research reveals that food insecurity can result in ongoing short and long-term health problems.27 May 2020",The basics of food security (and how it's tied to everything),https://www.worldvision.ca/stories/food/the-basics-of-food-security,https://www.worldvision.ca › stories › the-basics-of-food-...,,Food Security,en,NG,54
0,How many calories should I eat a day?,"Though it differs depending on age and activity level, adult males generally require 2,000-3000 calories per day to maintain weight while adult females need around 1,600-2,400 according to the U.S Department of Health.",Calorie Calculator,https://www.calculator.net/calorie-calculator.html,https://www.calculator.net › fitness & health,,Calorie,en,NG,56
1,Does calories make you fat?,"You gain weight when you eat more calories than you burn — or burn fewer calories than you eat. While it is true that some people seem to be able to lose weight more quickly and more easily than others, everyone loses weight when they burn up more calories than they eat.",Metabolism and weight loss: How you burn calories - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/weight-loss/in-depth/metabolism/art-20046508,https://www.mayoclinic.org › metabolism › art-20046508,,Calorie,en,NG,56
2,What is the difference between calorie and calorie?,"The ""calorie"" we refer to in food is actually kilocalorie. One (1) kilocalorie is the same as one (1) Calorie (uppercase C). A kilocalorie is the amount of heat required to raise the temperature of one kilogram of water one degree Celsius.",What is the difference between calories and kilocalories?,https://www.nal.usda.gov/legacy/fnic/what-difference-between-calories-and-kilocalories,https://www.nal.usda.gov › legacy › fnic › what-differenc...,,Calorie,en,NG,56
3,How do you count a calorie?,"Counting the calories in packaged foods is easy: Just look at the nutrition label and write down the calorie amount. Don't forget about serving sizes, though -- if you eat two servings, double the calorie count that's on the label.13 Feb 2020",How to count calories for weight loss and health - CNET,https://www.cnet.com/health/nutrition/how-to-count-calories-for-weight-loss-and-health/,https://www.cnet.com › health › nutrition › how-to-count-...,,Calorie,en,NG,56
0,What are the 5 types of renewable energy?,,There are five major renewable energy sources,https://www.eia.gov/energyexplained/what-is-energy/sources-of-energy.php,https://www.eia.gov › energyexplained › sources-of-energy,"['Solar energy from the sun.', 'Geothermal energy from heat inside the earth.', 'Wind energy.', 'Biomass from plants.', 'Hydropower from flowing water.']",Renewable Energy,en,NG,58
1,What are the 7 types of renewable energy?,,What are 7 Types of Renewable Energy?,https://www.igs.com/energy-resource-center/energy-101/types-of-renewable-energy,https://www.igs.com › energy-resource-center › energy-101,"[""Solar. By using photovoltaic cells to capture and convert the sun's rays into electricity, solar panels transform light into usable energy. ... "", 'Wind Energy. ... ', 'Hydroelectric. ... ', 'Ocean Energy. ... ', 'Geothermal Energy. ... ', 'Biomass. ... ', 'Hydrogen.']",Renewable Energy,en,NG,58
2,What means of renewable energy?,Renewable energy is energy from sources that are naturally replenishing but flow-limited; renewable resources are virtually inexhaustible in duration but limited in the amount of energy that is available per unit of time. The major types of renewable energy sources are: Biomass. Wood and wood waste.,Renewable energy explained - EIA,https://www.eia.gov/energyexplained/renewable-sources/,https://www.eia.gov › renewable-sources,,Renewable Energy,en,NG,58
3,What is renewable energy and examples?,"Renewable energy sources are energy sources that are always being replenished. They can never be depleted. Some examples of renewable energy sources are solar energy, wind energy, hydropower, geothermal energy, and biomass energy.17 Sept 2021",What Is a Renewable Energy Source? - Definition & Example,https://study.com/academy/lesson/what-is-a-renewable-energy-source-definition-example-quiz.html,https://study.com › academy › lesson › what-is-a-renewab...,,Renewable Energy,en,NG,58
0,What are the 5 effects of climate change?,"More frequent and intense drought, storms, heat waves, rising sea levels, melting glaciers and warming oceans can directly harm animals, destroy the places they live, and wreak havoc on people's livelihoods and communities.",Effects of Climate Change | Threats | WWF,https://www.worldwildlife.org/threats/effects-of-climate-change,https://www.worldwildlife.org › threats › effects-of-climat...,,Climate change,en,NG,59
1,What is climate change simple definition?,"Climate change is a long-term change in the average weather patterns that have come to define Earth's local, regional and global climates. These changes have a broad range of observed effects that are synonymous with the term.","Overview: Weather, Global Warming and Climate Change",https://climate.nasa.gov/resources/global-warming-vs-climate-change/,https://climate.nasa.gov › resources › global-warming-vs-...,,Climate change,en,NG,59
2,What is climate change and its causes and effects?,"Climate change is the long-term increase in the earth's average surface temperature and the large-scale changes in global, regional, and local weather patterns that result from that increase, caused by a significant increase in the levels of greenhouse gases that are produced by the use of fossil fuels.","What Is Climate Change? (Definition, Causes, and Effects) - Palmetto solar",https://palmetto.com/learning-center/blog/what-is-climate-change-definition-causes-effects,https://palmetto.com › learning-center › blog › what-is-cli...,,Climate change,en,NG,59
3,What happens in climate change?,Temperatures are rising world-wide due to greenhouse gases trapping more heat in the atmosphere. Droughts are becoming longer and more extreme around the world. Tropical storms becoming more severe due to warmer ocean water temperatures.,Why is climate change happening and what are the causes? - USGS,https://www.usgs.gov/faqs/why-climate-change-happening-and-what-are-causes,https://www.usgs.gov › faqs › why-climate-change-happe...,,Climate change,en,NG,59
0,What causes soil contamination?,"In urban areas, soil contamination is largely caused by human activities. Some examples are manufacturing, industrial dumping, land development, local waste disposal, and excessive pesticide or fertilizer use.",Soil contaminants,https://www.soils.org/about-soils/contaminants,https://www.soils.org › about-soils › contaminants,,Soil contamination,en,NG,65
1,What is soil contamination effects?,"Soil pollution causes a chain reaction. It alters soils' biodiversity, reduces soil organic matter and soils' capacity to act as a filter. It also contaminates the water stored in the soil and groundwater, and causes an imbalance of soil nutrients.2 May 2018",Polluting our soils is polluting our future | FAO Stories,https://www.fao.org/fao-stories/article/en/c/1126974/,https://www.fao.org › fao-stories › article,,Soil contamination,en,NG,65
2,What is the most common soil contaminant?,,Examples of the most common and problematic soil pollutants can be found below.,https://www.environmentalpollutioncenters.org/soil/,https://www.environmentalpollutioncenters.org › soil,"['Lead (Pb) ... ', 'Mercury (Hg) ... ', 'Arsenic (As) ... ', 'Copper (Cu) ... ', 'Zinc (Zn) ... ', 'Nickel (Ni) ... ', 'PAHs (polyaromatic hydrocarbons) ... ', 'Herbicides/Insecticides.']",Soil contamination,en,NG,65
3,What are the causes and effects of soil contamination?,"The soil contamination can occur due to the presence of chemicals such as pesticides, herbicides, ammonia, petroleum hydrocarbons, lead, nitrate, mercury, naphthalene, etc in an excess amount. The primary cause of soil pollution is a lack of awareness in general people.","What is Soil Pollution? Definition, Causes, Effects and Solutions",https://www.toppr.com/guides/chemistry/environmental-chemistry/soil-pollution/,https://www.toppr.com › guides › environmental-chemistry,,Soil contamination,en,NG,65
0,What are the 4 main greenhouse gases?,,Overview of Greenhouse Gases,https://www.epa.gov/ghgemissions/overview-greenhouse-gases,https://www.epa.gov › ghgemissions › overview-greenh...,"['Overview.', 'Carbon Dioxide.', 'Methane.', 'Nitrous Oxide.', 'Fluorinated Gases.']",Greenhouse gas,en,NG,66
1,What are the 7 greenhouse gases?,,What are the types of greenhouse gases?,https://www.eia.gov/energyexplained/energy-and-the-environment/greenhouse-gases.php,https://www.eia.gov › energyexplained › greenhouse-g...,"['Carbon dioxide (CO2)', 'Methane (CH4)', 'Nitrous oxide (N2O)', 'Industrial gases: Hydrofluorocarbons (HFCs) Perfluorocarbons (PFCs) Sulfur hexafluoride (SF6) Nitrogen trifluoride (NF3)']",Greenhouse gas,en,NG,66
2,How do greenhouse gases cause global warming?,"Greenhouse gases The main driver of climate change is the greenhouse effect. Some gases in the Earth's atmosphere act a bit like the glass in a greenhouse, trapping the sun's heat and stopping it from leaking back into space and causing global warming.",Causes of climate change - European Commission,https://ec.europa.eu/clima/climate-change/causes-climate-change_en,https://ec.europa.eu › clima › causes-climate-change_en,,Greenhouse gas,en,NG,66
0,What are the 4 types of infections?,"The four different categories of infectious agents are bacteria, viruses, fungi, and parasites. When studying these agents, researchers isolate them using certain characteristics: Size of the infectious agent.18 Jun 2020",Different Types of Infectious Diseases | Nanocellect,https://nanocellect.com/blog/different-types-of-infectious-diseases/,https://nanocellect.com › blog › different-types-of-infecti...,,Infection,en,NG,68
1,What are the five signs of an infection?,,Signs of Infection,https://physicianoneurgentcare.com/blog/signs-of-infection/,https://physicianoneurgentcare.com › blog › signs-of-infe...,"['Increased pain or swelling.', 'A foul smell from the wound.', 'Pus-like drainage, fever or chills.', 'Increasing redness around the wound.', 'Red streaks moving away from the wound.']",Infection,en,NG,68
2,What causes infection?,"An infection occurs when germs enter the body, increase in number, and cause a reaction of the body. Three things are necessary for an infection to occur: Source: Places where infectious agents (germs) live (e.g., sinks, surfaces, human skin) Susceptible Person with a way for germs to enter the body.",How Infections Spread | Infection Control | CDC,https://www.cdc.gov/infectioncontrol/spread/index.html,https://www.cdc.gov › infectioncontrol › spread,,Infection,en,NG,68
3,What is infection example?,"Viral infections include: the common cold, which mainly occurs due to rhinovirus, coronavirus, and adenovirus. encephalitis and meningitis, resulting from enteroviruses and the herpes simplex virus (HSV), as well as West Nile Virus. warts and skin infections, for which HPV and HSV are responsible.","Infection: Types, causes, and differences - Medical News Today",https://www.medicalnewstoday.com/articles/196271,https://www.medicalnewstoday.com › articles,,Infection,en,NG,68
0,What are the causes of flood?,,Severe flooding is caused by atmospheric conditions that lead to heavy rain or the rapid melting of snow and ice....What Causes a Flood?,https://scijinks.gov/flood/,https://scijinks.gov › flood,"['Heavy rainfall.', 'Ocean waves coming on shore, such as a storm surge.', 'Melting snow and ice, as well as ice jams.', 'Dams or levees breaking.']",Flood,en,NG,70
1,What is effect of flood?,"Floods have large social consequences for communities and individuals. As most people are well aware, the immediate impacts of flooding include loss of human life, damage to property, destruction of crops, loss of livestock, and deterioration of health conditions owing to waterborne diseases.",What are the consequences of floods? - Queensland Chief Scientist,https://www.chiefscientist.qld.gov.au/publications/understanding-floods/flood-consequences,https://www.chiefscientist.qld.gov.au › flood-consequences,,Flood,en,NG,70
2,What is flood easy answer?,"Flood is a term used to denote an enormous amount of water. When there is an outflow of water in a place, it is said to be flooded. The situation caused when the water becomes uncontrollable is said to be flooded.",Definition and Different Causes of Floods | Toppr,https://www.toppr.com/guides/chemistry/environmental-chemistry/floods/,https://www.toppr.com › guides › environmental-chemistry,,Flood,en,NG,70
3,What are the causes and effects of flooding?,"A flood happens when water from a river , lake , or ocean overflows onto the land around it . Too much rain or melting snow are the main causes of floods . Sometimes the soil in the ground can make a flood worse. This is because when rain falls, the soil usually soaks it up like a sponge.","Causes of Flood - Definition, Environmental Effects & Positive Effects",https://byjus.com/chemistry/causes-of-flood/,https://byjus.com › chemistry › causes-of-flood,,Flood,en,NG,70
0,What causes drought?,"Droughts are caused by low precipitation over an extended period of time. Atmospheric conditions such as climate change, ocean temperatures, changes in the jet stream, and changes in the local landscape are all factors that contribute to drought.",What is a drought and what causes it? - Global Precipitation ...,https://gpm.nasa.gov/resources/faq/what-drought-and-what-causes-it,https://gpm.nasa.gov › resources › faq › what-drought-an...,,Drought,en,NG,71
1,What are 4 types of droughts?,"Categorized four basic approaches to measuring drought: meteorological, hydrological, agricultural, and socioeconomic.27 Mar 2021",Types of Droughts - JournalsOfIndia,https://journalsofindia.com/types-of-droughts/,https://journalsofindia.com › types-of-droughts,,Drought,en,NG,71
2,What are 5 causes of drought?,,Various Causes of Drought,https://www.conserve-energy-future.com/causes-effects-solutions-drought.php,https://www.conserve-energy-future.com › causes-effects-...,"['Natural causes.', 'Altered weather patterns.', 'Excess water demands.', 'Deforestation and soil degradation.', 'Global warming.', 'Climate change.', 'Hunger and famine.', 'Not enough drinking water.']",Drought,en,NG,71
